date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:37	33234/33234	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Dec%202021%2012:06:21%20GMT	https://www.letmespeak.org/	C:/dattaa/www.letmespeak.org/index.html	(from )
13:03:37	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2005%20Dec%202021%2012:06:21%20GMT	https://www.letmespeak.org/robots.txt		(from )
13:03:39	81954/81954	---M-Z	200	added ('OK')	text/css	etag:%228d1172e3b67b2d7a81be50996d7c0019%22	https://global-uploads.webflow.com/615998f78f900b06442cde55/css/let-me-speak.webflow.d77b17867.css	C:/dattaa/global-uploads.webflow.com/615998f78f900b06442cde55/css/let-me-speak.webflow.d77b17867.css	(from https://www.letmespeak.org/)
13:03:40	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/dattaa/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.letmespeak.org/)
13:03:42	118332/118332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261405e7e-1ce3c%22	https://proxy-translator.app.crowdin.net/assets/proxy-translator.js	C:/dattaa/proxy-translator.app.crowdin.net/assets/proxy-translator.js	(from https://www.letmespeak.org/)
13:03:43	1776/1776	---MCZ	200	added ('OK')	text/css	date:Sun,%2005%20Dec%202021%2012:06:26%20GMT	https://www.dl.dropboxusercontent.com/s/z0s1ddmya4icf71/slick.css	C:/dattaa/www.dl.dropboxusercontent.com/s/z0s1ddmya4icf71/slick.css_;%20filename_=UTF-8''slick.css	(from https://www.letmespeak.org/)
13:03:43	18596/18596	---M--	200	added ('OK')	image/png	etag:%224d0323f8cd2ac2c8ec4c82e36c66d257%22	https://global-uploads.webflow.com/615998f78f900b06442cde55/616560e2a174da23f37fea58_icon.png	C:/dattaa/global-uploads.webflow.com/615998f78f900b06442cde55/616560e2a174da23f37fea58_icon.png	(from https://www.letmespeak.org/)
13:03:44	3984/3984	---M--	200	added ('OK')	image/png	etag:%22e7bc97adb4ae90ab41d7fd5994f0919b%22	https://global-uploads.webflow.com/615998f78f900b06442cde55/618aa9d2fd3b5106e77fc182_tg.png	C:/dattaa/global-uploads.webflow.com/615998f78f900b06442cde55/618aa9d2fd3b5106e77fc182_tg.png	(from https://www.letmespeak.org/)
13:03:44	11075/11075	---M--	200	added ('OK')	image/png	etag:%227f4fd57ad84d523aed713af0db95c889%22	https://global-uploads.webflow.com/615998f78f900b06442cde55/618aaa2dbb6a2fcf73cad8a2_Group%2016649.png	C:/dattaa/global-uploads.webflow.com/615998f78f900b06442cde55/618aaa2dbb6a2fcf73cad8a2_Group%2016649.png	(from https://www.letmespeak.org/)
13:03:45	20322/20322	---M--	200	added ('OK')	image/png	etag:%2262454fff7d47df5e952294ae5a260bbe%22	https://global-uploads.webflow.com/615998f78f900b06442cde55/618aaa35827ef1f33f25d9b5_Group%2016652.png	C:/dattaa/global-uploads.webflow.com/615998f78f900b06442cde55/618aaa35827ef1f33f25d9b5_Group%2016652.png	(from https://www.letmespeak.org/)
13:03:45	16551/16551	---M--	200	added ('OK')	image/png	etag:%229710fd0ad5200b4dbc5f604e1b4522cf%22	https://global-uploads.webflow.com/615998f78f900b06442cde55/618aaa3d972a8c3d1bd55d72_Group%2016650.png	C:/dattaa/global-uploads.webflow.com/615998f78f900b06442cde55/618aaa3d972a8c3d1bd55d72_Group%2016650.png	(from https://www.letmespeak.org/)
13:03:45	10849/10849	---M--	200	added ('OK')	image/png	etag:%2216197840a769fa3fea86b6f4cf4938a7%22	https://global-uploads.webflow.com/615998f78f900b06442cde55/618aaa552b740ca678257bff_Group%2016653.png	C:/dattaa/global-uploads.webflow.com/615998f78f900b06442cde55/618aaa552b740ca678257bff_Group%2016653.png	(from https://www.letmespeak.org/)
